slowo;kategoria;poziom_agresji
ciota;mowa_nienawiúci;wysoki
cwel;mowa_nienawiúci;wysoki
peda≥;mowa_nienawiúci;wysoki
pedalskoúÊ;mowa_nienawiúci;wysoki
pedaliÊ siÍ;mowa_nienawiúci;wysoki
gejuch;mowa_nienawiúci;wysoki
gejstwo;mowa_nienawiúci;wysoki
tÍczowy peda≥;mowa_nienawiúci;wysoki
lesbijka;mowa_nienawiúci;úredni
homoseksualista;mowa_nienawiúci;úredni
trans;mowa_nienawiúci;úredni
transwestyta;mowa_nienawiúci;úredni
kozojebca;mowa_nienawiúci;wysoki
mÍska kurwa;mowa_nienawiúci;wysoki
murzyn;mowa_nienawiúci;wysoki
czarnuch;mowa_nienawiúci;wysoki
øyd;mowa_nienawiúci;wysoki
øydek;mowa_nienawiúci;wysoki
cygan;mowa_nienawiúci;wysoki
rom;mowa_nienawiúci;úredni
arab;mowa_nienawiúci;úredni
turek;mowa_nienawiúci;úredni
francuz;mowa_nienawiúci;úredni
niemiec;mowa_nienawiúci;úredni
azjata;mowa_nienawiúci;úredni
ciapaty;mowa_nienawiúci;wysoki
øÛ≥tek;mowa_nienawiúci;wysoki
muzu≥manin;mowa_nienawiúci;úredni
ateista;mowa_nienawiúci;úredni
katolski fanatyk;mowa_nienawiúci;wysoki
moher;mowa_nienawiúci;úredni
faszysta;mowa_nienawiúci;wysoki
nazista;mowa_nienawiúci;wysoki
rasista;mowa_nienawiúci;wysoki
ksenofob;mowa_nienawiúci;wysoki
homofob;mowa_nienawiúci;wysoki
transfob;mowa_nienawiúci;wysoki
antysemita;mowa_nienawiúci;wysoki
podludzie;mowa_nienawiúci;wysoki
úmieÊ spo≥eczny;mowa_nienawiúci;wysoki
idiota;obraüliwe;úredni
debil;obraüliwe;úredni
kretyn;obraüliwe;úredni
g≥upek;obraüliwe;niski
frajer;obraüliwe;úredni
gnÛj;obraüliwe;úredni
szmata;obraüliwe;úredni
suka;obraüliwe;úredni
dziwka;obraüliwe;wysoki
kurwa;obraüliwe;wysoki
skurwysyn;obraüliwe;wysoki
byd≥o;obraüliwe;úredni
úwinia;obraüliwe;úredni
baran;obraüliwe;niski
osio≥;obraüliwe;niski
pies;obraüliwe;niski
szczur;obraüliwe;úredni
robak;obraüliwe;úredni
brudas;obraüliwe;úredni
wieúniak;obraüliwe;niski
burak;obraüliwe;niski
cham;obraüliwe;niski
ciul;obraüliwe;úredni
pajac;obraüliwe;niski
tuman;obraüliwe;niski
≥ajza;obraüliwe;niski
menel;obraüliwe;úredni
øul;obraüliwe;úredni
psychol;obraüliwe;úredni
úwir;obraüliwe;niski
wariat;obraüliwe;úredni
prostytutka;obraüliwe;úredni
kaleka;obraüliwe;wysoki
inwalida;obraüliwe;wysoki
leniwiec;obraüliwe;niski
nieudacznik;obraüliwe;niski
nieuk;obraüliwe;niski
brzydal;obraüliwe;niski
gruby;obraüliwe;niski
terrorysta;obraüliwe;wysoki
bandyta;obraüliwe;wysoki
z≥odziej;obraüliwe;úredni
oszust;obraüliwe;úredni
chuj;obraüliwe;wysoki
pizda;obraüliwe;wysoki
dupa;obraüliwe;úredni
jebany;obraüliwe;wysoki
pierdolony;obraüliwe;wysoki
spierdalaÊ;obraüliwe;wysoki
wypierdalaÊ;obraüliwe;wysoki
zajebaÊ;obraüliwe;wysoki
