a gówno;wulgaryzm;wysoki
afa;wulgaryzm;wysoki
baæ siê o w³asn¹ dupê;wulgaryzm;wysoki
bajzel;wulgaryzm;wysoki
bladŸ;wulgaryzm;wysoki
blo³d¿ob;wulgaryzm;wysoki
ból dupy;wulgaryzm;wysoki
brandzlowaæ siê;wulgaryzm;wysoki
brandzlowanie;wulgaryzm;wysoki
buc;wulgaryzm;wysoki
burdelchata;wulgaryzm;wysoki
burdelówa;wulgaryzm;wysoki
byle gówno;wulgaryzm;wysoki
bzykaæ;wulgaryzm;wysoki
bzykanko;wulgaryzm;wysoki
ChWDP;wulgaryzm;wysoki
CJK;wulgaryzm;wysoki
certoliæ siê;wulgaryzm;wysoki
chêdo¿enie;wulgaryzm;wysoki
cholera jasna;wulgaryzm;wysoki
cholernie;wulgaryzm;wysoki
chrzaniæ to;wulgaryzm;wysoki
chuj;wulgaryzm;wysoki
chuj babski;wulgaryzm;wysoki
chuj bombki strzeli³, choinki nie bêdzie;wulgaryzm;wysoki
chuj go wie;wulgaryzm;wysoki
chuj strzela;wulgaryzm;wysoki
chuj w bombki strzeli³, choinki nie bêdzie;wulgaryzm;wysoki
chuj w dupê;wulgaryzm;wysoki
chuj z tym;wulgaryzm;wysoki
chuj, dupa i kamieni kupa;wulgaryzm;wysoki
chuje muje, dzikie wê¿e;wulgaryzm;wysoki
chujek;wulgaryzm;wysoki
chujnia;wulgaryzm;wysoki
chujnia z grzybni¹;wulgaryzm;wysoki
chujostwo;wulgaryzm;wysoki
chujowizna;wulgaryzm;wysoki
chujowo;wulgaryzm;wysoki
chujowoœæ;wulgaryzm;wysoki
chujowy;wulgaryzm;wysoki
chujoza;wulgaryzm;wysoki
ci¹gn¹æ;wulgaryzm;wysoki
ci¹gn¹æ druta;wulgaryzm;wysoki
cichodajka;wulgaryzm;wysoki
ciemno jak w dupie;wulgaryzm;wysoki
ciemno jak w dupie u Murzyna;wulgaryzm;wysoki
cipa;wulgaryzm;wysoki
cipowanie;wulgaryzm;wysoki
cipowy;wulgaryzm;wysoki
ciuæma;wulgaryzm;wysoki
ciul;wulgaryzm;wysoki
ciulaæ;wulgaryzm;wysoki
ciuln¹æ;wulgaryzm;wysoki
coœ kogoœ pierdoli;wulgaryzm;wysoki
cwel;wulgaryzm;wysoki
cweliæ;wulgaryzm;wysoki
cwelowanie;wulgaryzm;wysoki
cycatka;wulgaryzm;wysoki
cyckoman;wulgaryzm;wysoki
daæ kopa w dupê;wulgaryzm;wysoki
dawaæ dupy;wulgaryzm;wysoki
dmuchaæ;wulgaryzm;wysoki
dmuchanie;wulgaryzm;wysoki
do cholery;wulgaryzm;wysoki
do chuja pana;wulgaryzm;wysoki
do dupy;wulgaryzm;wysoki
do kurwy nêdzy;wulgaryzm;wysoki
do rzici;wulgaryzm;wysoki
do usranego koñca;wulgaryzm;wysoki
do usranej œmierci;wulgaryzm;wysoki
dobraæ siê do dupy;wulgaryzm;wysoki
dojebaæ;wulgaryzm;wysoki
dopierdalaæ;wulgaryzm;wysoki
dopierdalanie;wulgaryzm;wysoki
dostaæ po dupie;wulgaryzm;wysoki
dostaæ wpierdol;wulgaryzm;wysoki
dupa;wulgaryzm;wysoki
dupczenie;wulgaryzm;wysoki
dupowaæ;wulgaryzm;wysoki
dymaæ;wulgaryzm;wysoki
dymanko;wulgaryzm;wysoki
dziwka;wulgaryzm;wysoki
fiut;wulgaryzm;wysoki
frajer;wulgaryzm;wysoki
francuz;wulgaryzm;wysoki
gnój;wulgaryzm;wysoki
goñ siê;wulgaryzm;wysoki
gówniak;wulgaryzm;wysoki
gówno;wulgaryzm;wysoki
grzmotn¹æ;wulgaryzm;wysoki
idŸ w chuj;wulgaryzm;wysoki
iœæ na kurwy;wulgaryzm;wysoki
JP;wulgaryzm;wysoki
ja pierdolê;wulgaryzm;wysoki
jebacz;wulgaryzm;wysoki
jebaæ;wulgaryzm;wysoki
jebany;wulgaryzm;wysoki
jebn¹æ;wulgaryzm;wysoki
kozojebca;wulgaryzm;wysoki
kurewka;wulgaryzm;wysoki
kurewski;wulgaryzm;wysoki
kurwa;wulgaryzm;wysoki
kurwa maæ;wulgaryzm;wysoki
kurwido³ek;wulgaryzm;wysoki
kutas;wulgaryzm;wysoki
lodziara;wulgaryzm;wysoki
MILF;wulgaryzm;wysoki
matkojebca;wulgaryzm;wysoki
mêska kurwa;wulgaryzm;wysoki
mieæ wyjebane;wulgaryzm;wysoki
na chuj;wulgaryzm;wysoki
najebany;wulgaryzm;wysoki
napierdalaæ;wulgaryzm;wysoki
ni chuja;wulgaryzm;wysoki
pizda;wulgaryzm;wysoki
pierdolony;wulgaryzm;wysoki
spierdalaæ;wulgaryzm;wysoki
wypierdalaæ;wulgaryzm;wysoki
zajebaæ;wulgaryzm;wysoki
pedalskoœæ;wulgaryzm;wysoki
